3.287999999999999812e-01,2.169999999999999984e-01
6.538000000000000478e-01,1.195999999999999980e-01
8.290999999999999481e-01,1.579000000000000126e-01
5.832000000000000517e-01,7.349999999999999589e-02
2.348000000000000087e-01,1.729999999999999941e-02
7.349999999999999867e-01,2.544000000000000150e-01
9.706000000000000183e-01,4.109999999999999765e-02
8.669000000000000039e-01,7.770000000000000517e-02
8.619999999999999885e-02,1.103999999999999981e-01
3.664000000000000035e-01,4.580000000000000043e-02
3.691999999999999726e-01,1.283999999999999864e-01
8.468999999999999861e-01,5.183999999999999719e-01
8.304000000000000270e-01,1.476599999999999913e+00
9.564000000000000279e-01,7.374000000000000554e-01
8.201000000000000512e-01,1.105299999999999949e+00
8.588000000000000078e-01,1.646600000000000064e+00
8.475000000000000311e-01,9.486999999999999877e-01
9.062000000000000055e-01,1.342100000000000071e+00
8.810999999999999943e-01,9.939999999999999947e-01
7.810000000000000275e-01,1.283199999999999896e+00
2.199999999999999872e-02,1.309900000000000064e+00
1.867999999999999938e-01,9.443000000000000282e-01
3.749999999999999861e-02,9.776000000000000245e-01
5.319999999999999729e-02,1.214800000000000102e+00
1.595999999999999919e-01,3.891000000000000014e-01
9.750000000000000333e-02,7.737000000000000544e-01
2.137999999999999901e-01,1.409100000000000019e+00
7.920000000000000651e-02,1.344600000000000017e+00
5.460000000000000270e-02,5.280000000000000249e-01
7.400000000000000328e-03,5.151999999999999913e-01
5.011999999999999789e-01,1.988999999999999935e-01
5.723000000000000309e-01,2.106999999999999984e-01
5.526999999999999691e-01,1.796999999999999986e-01
4.908000000000000140e-01,1.887899999999999912e+00
4.566999999999999948e-01,2.358000000000000096e-01
5.403000000000000025e-01,2.310000000000000109e-01
6.001999999999999558e-01,3.012000000000000233e-01
